trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
190,False,"{'a': 0.5, 'e': 0.3867410234545012}",35,17,-24.758461236055123,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 1}",1
191,False,"{'a': 0.5, 'e': 0.3848121445529785}",25,0,26.204162563041937,"{0: 23, 1: 2, 2: 0, 3: 0, 4: 0}",0
192,False,"{'a': 0.5, 'e': 0.38289288597511206}",25,0,-13.906382451128616,"{0: 20, 1: 3, 2: 1, 3: 1, 4: 0}",0
193,False,"{'a': 0.5, 'e': 0.38098319973933725}",20,12,-10.50543594493965,"{0: 6, 1: 0, 2: 2, 3: 0, 4: 0}",1
194,False,"{'a': 0.5, 'e': 0.37908303810339883}",25,0,-55.450301867008854,"{0: 20, 1: 2, 2: 1, 3: 1, 4: 1}",0
195,False,"{'a': 0.5, 'e': 0.37719235356315695}",20,0,-36.34275667352026,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 1}",0
196,False,"{'a': 0.5, 'e': 0.37531109885139957}",25,19,12.712930873190926,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
197,False,"{'a': 0.5, 'e': 0.37343922693666093}",30,16,-59.15926130593642,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 2}",1
198,False,"{'a': 0.5, 'e': 0.3715766910220457}",30,12,-64.68069592907244,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 2}",1
199,False,"{'a': 0.5, 'e': 0.369723444544059}",25,0,-67.74056507405743,"{0: 20, 1: 2, 2: 1, 3: 0, 4: 2}",0
200,False,"{'a': 0.5, 'e': 0.36787944117144233}",25,7,9.32701906916116,"{0: 17, 1: 0, 2: 0, 3: 1, 4: 0}",1
201,False,"{'a': 0.5, 'e': 0.36604463480401533}",20,0,18.84768039183344,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",1
202,False,"{'a': 0.5, 'e': 0.3642189795715233}",25,10,-23.42288088447587,"{0: 13, 1: 1, 2: 0, 3: 0, 4: 1}",1
203,False,"{'a': 0.5, 'e': 0.36240242983249027}",30,8,-10.317518563832959,"{0: 19, 1: 0, 2: 2, 3: 1, 4: 0}",1
204,False,"{'a': 0.5, 'e': 0.3605949401730783}",25,7,-33.952395509871856,"{0: 13, 1: 1, 2: 3, 3: 1, 4: 0}",1
205,False,"{'a': 0.5, 'e': 0.3587964654059516}",20,1,-64.70439613651128,"{0: 14, 1: 1, 2: 2, 3: 1, 4: 1}",1
206,False,"{'a': 0.5, 'e': 0.3570069605691474}",20,6,-17.516719476149113,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 1}",1
207,False,"{'a': 0.5, 'e': 0.3552263809249515}",20,1,-22.58549544347172,"{0: 16, 1: 0, 2: 2, 3: 1, 4: 0}",1
208,False,"{'a': 0.5, 'e': 0.35345468195878016}",20,4,-5.631819120539689,"{0: 13, 1: 0, 2: 3, 3: 0, 4: 0}",1
209,False,"{'a': 0.5, 'e': 0.3516918193780669}",30,16,-29.618460900325672,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 1}",1
210,False,"{'a': 0.5, 'e': 0.3499377491111553}",30,18,22.95954000289052,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
211,False,"{'a': 0.5, 'e': 0.3481924273061976}",25,2,-16.628838541118476,"{0: 21, 1: 0, 2: 1, 3: 0, 4: 1}",1
212,False,"{'a': 0.5, 'e': 0.3464558103300574}",20,0,-5.762584452853619,"{0: 17, 1: 0, 2: 3, 3: 0, 4: 0}",0
213,False,"{'a': 0.5, 'e': 0.3447278547672202}",20,0,-12.200291186679163,"{0: 17, 1: 0, 2: 2, 3: 1, 4: 0}",0
214,False,"{'a': 0.5, 'e': 0.34300851741870664}",20,0,-10.60397124601927,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
215,False,"{'a': 0.5, 'e': 0.3412977553009937}",25,0,-8.285212815580898,"{0: 21, 1: 0, 2: 4, 3: 0, 4: 0}",0
216,False,"{'a': 0.5, 'e': 0.3395955256449391}",25,20,9.253467347645547,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
217,False,"{'a': 0.5, 'e': 0.33790178589471304}",25,5,-114.10232717996493,"{0: 15, 1: 0, 2: 2, 3: 0, 4: 3}",1
218,False,"{'a': 0.5, 'e': 0.33621649370673334}",30,18,19.343877726075714,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
219,False,"{'a': 0.5, 'e': 0.3345396069486076}",20,6,0.2607032906767519,"{0: 12, 1: 1, 2: 1, 3: 0, 4: 0}",1
220,False,"{'a': 0.5, 'e': 0.33287108369807955}",20,7,-24.21415240182981,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 1}",1
